antecedent;consequent;lift;confidence;support;netconf;amplitude;coverage
KO [-8.16, 1.34]%, HYG [-10.63, 6.57]%;INTC [-18.62, -2.00]%;1.103;0.295;0.179;0.07;0.57;0.608
KO [-6.38, 6.73]%, XLF [-0.89, 21.47]%;INTC [2.64, 12.04]%;1.299;0.293;0.201;0.214;0.692;0.685
EEM [-7.54, -3.77]%, XLK [-3.30, -0.42]%, HYG [-11.65, 9.50]%, SPY [-9.75, 17.92]%;INTC [-29.00, -0.08]%;2.03;0.929;0.022;0.483;0.553;0.024
month([1, 3]), XLK [-6.42, -0.68]%;INTC [-29.00, -2.45]%;2.446;0.582;0.039;0.369;0.755;0.067
SPY [-14.89, 1.75]%, BA [-27.02, 67.32]%, IYR [-12.50, 10.96]%;INTC [-4.61, -4.27]%;1.245;0.018;0.015;0.018;0.606;0.803
SPY [-14.89, 1.75]%, BA [-27.02, 67.32]%, IYR [-12.50, 10.96]%;INTC [-4.61, -4.27]%;1.245;0.018;0.015;0.018;0.606;0.803
CLX [-6.01, 10.07]%, GOOGL [5.09, 20.05]%, IYR [-16.73, 33.08]%;INTC [4.74, 41.48]%;2.764;0.349;0.032;0.245;0.481;0.09
SAP [-17.06, 0.78]%, BA [-25.49, 43.83]%, IYR [-11.46, 4.60]%;INTC [-9.06, -4.18]%;1.462;0.142;0.078;0.1;0.695;0.552
JPM [-0.23, 2.45]%, DIS [3.24, 6.90]%, IYR [-7.81, 10.78]%;IWM [-0.71, 3.53]%;1.398;0.778;0.03;0.23;0.873;0.038
JPM [-0.23, 2.45]%, DIS [3.24, 6.90]%, IYR [-7.81, 10.78]%;IWM [-0.71, 3.53]%;1.398;0.778;0.03;0.23;0.873;0.038
NVDA [-1.03, 2.54]%, UUP [-3.99, 3.14]%, SPY [-18.91, 11.11]%, XLE [-34.55, 8.76]%;IWM [-4.61, 2.42]%;1.131;0.855;0.186;0.126;0.527;0.218
JPM [-23.47, -0.18]%, XLE [-3.19, -1.00]%, EFX [-25.74, 5.93]%, IYR [-10.78, 7.90]%;IWM [-4.64, 1.76]%;1.411;0.945;0.103;0.309;0.727;0.109
JPM [-23.47, -0.18]%, XLE [-3.19, -1.00]%, EFX [-25.74, 5.93]%, IYR [-10.78, 7.90]%;IWM [-4.64, 1.76]%;1.411;0.945;0.103;0.309;0.727;0.109
AMZN [-6.57, 18.67]%, INTC [-0.75, 28.49]%;IWM [4.81, 10.24]%;1.596;0.064;0.038;0.06;0.688;0.6
UUP [-1.30, 0.19]%;IYR [-0.00, 7.07]%;1.129;0.615;0.242;0.116;0.877;0.394
JPM [2.36, 39.76]%;IYR [-0.03, 12.46]%;1.224;0.683;0.166;0.165;0.66;0.242
XLE [1.68, 9.08]%;IYR [-0.03, 7.23]%;1.177;0.645;0.209;0.143;0.884;0.324
EEM [2.65, 25.80]%, BA [-32.96, 77.25]%, XLE [-8.37, 7.94]%, XLK [-4.76, 0.38]%;IYR [0.06, 18.45]%;1.102;0.6;0.013;0.057;0.597;0.021
JPM [0.05, 10.66]%;IYR [0.06, 3.44]%;1.137;0.524;0.281;0.136;0.905;0.536
JPM [0.05, 10.66]%;IYR [0.06, 3.44]%;1.137;0.524;0.281;0.136;0.905;0.536
SPY [2.27, 3.65]%;IYR [0.09, 11.51]%;1.66;0.894;0.072;0.386;0.892;0.08
XLK [2.99, 15.38]%, SPY [3.60, 11.99]%, XLE [-13.67, 27.88]%;IYR [-0.11, 7.91]%;1.345;0.762;0.027;0.203;0.65;0.036
